SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,18344 Kippola Ln NW,Poulsbo,WA,98370,470000,3,2.0,Finn Hill,1579,47045,2012,5,298,,Active,,,http://www.redfin.com/WA/Poulsbo/18344-Kippola-Ln-NW-98370/home/2242088,NWMLS,1519774,N,Y,47.730036,-122.677546
MLS Listing,,Vacant Land,Anderson Hill Rd,Silverdale,WA,98383,199000,0,,Silverdale,,213008,,5,,,Active,,,http://www.redfin.com/WA/Silverdale/NW-Anderson-Hill-Rd-98383/home/17509300,NWMLS,1519947,N,Y,47.662083,-122.746162
MLS Listing,,Single Family Residential,9430 21st Ave SW,Seattle,WA,98106,475000,3,1.0,Westwood,1120,5040,1941,5,424,,Active,,,http://www.redfin.com/WA/Seattle/9430-21st-Ave-SW-98106/home/473203,NWMLS,1514185,N,Y,47.5182692,-122.3602311
MLS Listing,,Condo/Co-op,26318 Illinois Ave Unit A-104,Kingston,WA,98346,260000,4,2.0,Kingston,1150,,1994,6,226,385,Active,,,http://www.redfin.com/WA/Kingston/26318-Illinois-Ave-NE-98346/unit-A-104/home/169084163,NWMLS,1520157,N,Y,47.8013715,-122.4954891
MLS Listing,,Condo/Co-op,4055 S 212th Ct Unit H,SeaTac,WA,98198,309950,2,2.0,SeaTac,1007,1526204,2006,6,308,290,Active,,,http://www.redfin.com/WA/SeaTac/4055-S-212th-Ct-98198/unit-H/home/12306901,NWMLS,1520165,N,Y,47.4117386,-122.281876
MLS Listing,,Single Family Residential,22651 108th Ave SE,Kent,WA,98031,395000,3,1.75,Kent,1250,9548,1966,6,316,,Active,,,http://www.redfin.com/WA/Kent/22651-108th-Ave-SE-98031/home/224995,NWMLS,1519883,N,Y,47.3979255,-122.1976064
MLS Listing,,Single Family Residential,1125 Bloomington Ave,Bremerton,WA,98312,219000,3,1.0,Bremerton,902,6098,1934,6,243,,Active,,,http://www.redfin.com/WA/Bremerton/1125-Bloomington-Ave-98312/home/2317093,NWMLS,1519869,N,Y,47.5719639,-122.6503295
MLS Listing,,Single Family Residential,6406 192nd Pl SW,Lynnwood,WA,98036,489500,3,1.0,Lynndale Park,1224,9583,1960,6,400,,Active,,,http://www.redfin.com/WA/Lynnwood/6406-192nd-Pl-SW-98036/home/2730298,NWMLS,1508595,N,Y,47.8241924,-122.3199704
MLS Listing,,Condo/Co-op,2143 N Northlake Way Unit C-1,Seattle,WA,98103,499950,0,0.5,Lake Union,1781,,1984,6,281,2108,Active,,,http://www.redfin.com/WA/Seattle/2143-N-Northlake-Way-98103/unit-C-1/home/169079971,NWMLS,1519802,N,Y,47.6471085,-122.3325745
MLS Listing,,Vacant Land,NE Minder Rd,Poulsbo,WA,98370,485000,0,,Poulsbo,,937847,,6,,,Active,,,http://www.redfin.com/WA/Unknown/NE-Minder-Rd-98370/home/169079056,NWMLS,1517055,N,Y,47.792097,-122.57059
