sale_type,property_type,address,city,state,zip,price,beds,baths,location,square_feet,lot_size,year_built,days_on_market,cost_per_square_foot,payment_hoa,status,next_open_house_start_time,next_open_house_end_time,url,source,mls,latitude,longitude,time_commute_joe,time_commute_kira,time_downtown,time_hiking,time_airport,time_commute,payment_loan,payment_pmi,payment_taxes,payment_maint,payment_hoi,payment_total,beds_score,baths_score,payment_score,square_feet_score,time_commute_score,time_downtown_score,time_hiking_score,time_airport_score,total_score
MLS Listing,Condo/Co-op,9520 1st Ave NE Unit A302,Seattle,WA,98115,374999,2,2,Seattle,847,17583,1995,19,443,325,Active,NA,NA,http://www.redfin.com/WA/Seattle/9520-1st-Ave-NE-98115/unit-A302/home/144393824,NWMLS,1513427,47.6983244,-122.3281612,29.58333333,26.3,12.68333333,35.21666667,25.95,29.58333333,1505.121041,135.41625,390.6239583,312.4991667,93.74975,2762.410166,1,1,0.179,1.361,1.628,1,0.342,0.473,6.983
MLS Listing,Condo/Co-op,13306 SE 272nd St Unit H202,Kent,WA,98042,235000,2,1,Lake Meridian,943,164906,1995,19,249,274,Active,NA,NA,http://www.redfin.com/WA/Kent/13306-SE-272nd-St-98042/unit-H202/home/27867,NWMLS,1513792,47.3588334,-122.1635921,25.63333333,21.75,35.81666667,25.55,24.9,25.63333333,856.7638444,0,244.7916667,195.8333333,58.75,1630.138844,1,0,3.552,1.901,2.334,0.214,0.477,0.482,9.96
MLS Listing,Single Family Residential,20813 63rd Ave W,Lynnwood,WA,98036,425000,3,1.75,Seattle Heights,1032,6098,1954,23,412,0,Active,NA,NA,http://www.redfin.com/WA/Lynnwood/20813-63rd-Ave-W-98036/home/2658467,NWMLS,1508310,47.8100238,-122.3176027,37.38333333,34.1,20.46666667,43,33.75,37.38333333,1736.683468,156.25,442.7083333,354.1666667,106.25,2796.058468,2,0.854,0.133,2,0.449,0.92,0.192,0.368,6.916
MLS Listing,Townhouse,22906 Edmonds Way #16,Edmonds,WA,98020,279950,2,1,Edmonds,887,48719,1984,30,316,400,Active,NA,NA,http://www.redfin.com/WA/Edmonds/22906-Edmonds-Way-98020/unit-16/home/2791227,NWMLS,1509589,47.7908692,-122.3582376,36,32.73333333,19.1,41.63333333,32.38333333,36,1064.934303,95.8125,291.6145833,233.2916667,69.9875,2155.640553,1,0,1.89,1.631,0.618,0.955,0.218,0.391,6.703
MLS Listing,Single Family Residential,226 154th St SW,Lynnwood,WA,98087,450000,4,1.75,Martha Lake,1832,8712,1982,32,246,0,Active,NA,NA,http://www.redfin.com/WA/Lynnwood/226-154th-St-SW-98087/home/2709251,NWMLS,1507790,47.8581301,-122.2370133,37.63333333,40.56666667,26.93333333,42.73333333,40.21666667,40.56666667,1852.462366,166.6666667,468.75,375,112.5,2975.379033,2,0.854,0.002,2,0.156,0.658,0.197,0.246,6.113
MLS Listing,Townhouse,23208 63rd Pl S Unit 28-3,Kent,WA,98032,314990,2,2.5,Kent,1148,0,1998,38,274,340,Active,NA,NA,http://www.redfin.com/WA/Kent/23208-63rd-Pl-S-98032/unit-28-3/home/168668413,NWMLS,1504856,47.3937499,-122.2554532,21.31666667,15.71666667,26.88333333,36.8,20.48333333,21.31666667,1227.210006,110.4125,328.1145833,262.4916667,78.7475,2346.976256,1,1,1.224,2,3.054,0.66,0.312,0.5,9.75
MLS Listing,Townhouse,9541 Interlake Ave N Unit C,Seattle,WA,98103,389900,2,1.5,Green Lake,741,1085,2006,44,526,0,Active,NA,NA,http://www.redfin.com/WA/Seattle/9541-Interlake-Ave-N-98103/unit-C/home/2059900,NWMLS,1503305,47.6990269,-122.3410261,29.9,26.61666667,13,35.51666667,30.13333333,29.9,1574.129896,141.625,406.1458333,324.9166667,97.475,2544.292396,1,0.5,0.633,0.553,1.572,1,0.336,0.425,6.019
MLS Listing,Condo/Co-op,22997 Marine View Dr S Unit D102,Des Moines,WA,98198,268000,2,1,Zenith,793,194079,1969,45,338,374,Active,NA,NA,http://www.redfin.com/WA/Des-Moines/22997-Marine-View-Dr-S-98198/unit-D102/home/28443,NWMLS,1502415,47.3957636,-122.3240228,21.56666667,16.18333333,27.15,37.05,15.15,21.56666667,1009.59199,90.83333333,279.1666667,223.3333333,67,2043.925323,1,0,2.29,0.945,3.016,0.647,0.307,0.5,8.705
MLS Listing,Condo/Co-op,12621 SE 41st Pl Unit G101,Bellevue,WA,98006,409000,2,1,Bellevue,882,165106,1986,60,464,260,Active,NA,NA,http://www.redfin.com/WA/Bellevue/12621-SE-41st-Pl-98006/unit-G101/home/2087493,NWMLS,1494209,47.571862,-122.171685,13.06666667,17.91666667,16.06666667,19.13333333,18.26666667,17.91666667,1662.584974,149.5833333,426.0416667,340.8333333,102.25,2941.293307,1,0,0.011,1.6,3.516,0.997,0.5,0.5,8.124
MLS Listing,Condo/Co-op,17827 80th Ave NE Unit B102,Kenmore,WA,98028,374999,3,2,Kenmore,1346,64646,1998,66,279,415,Active,NA,NA,http://www.redfin.com/WA/Kenmore/17827-80th-Ave-NE-98028/unit-B102/home/16523,NWMLS,1492893,47.7579027,-122.2348492,30.51666667,35.36666667,26.31666667,35.61666667,35.71666667,35.36666667,1505.121041,135.41625,390.6239583,312.4991667,93.74975,2852.410166,2,1,0.07,2,0.702,0.688,0.334,0.333,7.127
